%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1718246974697879148,3879,1718246974697805949,navsat_link,0,0,39.925314835,116.199941474,65.7296295166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246974748041657,3880,1718246974747897472,navsat_link,0,0,39.9253148961,116.199941423,65.7294235229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246974797972976,3881,1718246974797843267,navsat_link,0,0,39.9253148436,116.199941478,65.7286224365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246974848105920,3882,1718246974847908083,navsat_link,0,0,39.9253149078,116.199941427,65.7284317017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246974897939002,3883,1718246974897772168,navsat_link,0,0,39.9253148505,116.199941486,65.7274246216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246974948081802,3884,1718246974947938121,navsat_link,0,0,39.9253149121,116.199941436,65.7271652222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246974998188317,3885,1718246974997874249,navsat_link,0,0,39.9253148594,116.199941492,65.7259216309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975048387042,3886,1718246975047967971,navsat_link,0,0,39.9253149209,116.199941443,65.7257080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975098266118,3887,1718246975097826592,navsat_link,0,0,39.9253148721,116.199941493,65.7245178223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975148041930,3888,1718246975147935875,navsat_link,0,0,39.9253149363,116.199941444,65.724319458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975197907686,3889,1718246975197816465,navsat_link,0,0,39.9253148841,116.199941491,65.7232971191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975247967738,3890,1718246975247809003,navsat_link,0,0,39.9253149498,116.199941442,65.7232284546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975298013725,3891,1718246975297836536,navsat_link,0,0,39.9253148884,116.199941487,65.7220153809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975348048152,3892,1718246975347884743,navsat_link,0,0,39.9253149522,116.199941439,65.7218093872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975398035467,3893,1718246975397929682,navsat_link,0,0,39.925314899,116.199941487,65.7207717896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975448059533,3894,1718246975447849579,navsat_link,0,0,39.9253149629,116.199941439,65.7205657959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975497909976,3895,1718246975497841236,navsat_link,0,0,39.9253149088,116.199941486,65.7196426392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975548030304,3896,1718246975547901461,navsat_link,0,0,39.9253149769,116.199941433,65.7193908691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975597988986,3897,1718246975597788782,navsat_link,0,0,39.9253149159,116.199941474,65.7197723389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975648014585,3898,1718246975647896327,navsat_link,0,0,39.9253149807,116.199941436,65.718460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975698418128,3899,1718246975697968740,navsat_link,0,0,39.9253149247,116.199941485,65.7175216675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975748193170,3900,1718246975747869478,navsat_link,0,0,39.9253149825,116.199941439,65.7173156738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975797889141,3901,1718246975797775824,navsat_link,0,0,39.9253149231,116.19994148,65.7177810669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975848106585,3902,1718246975847914363,navsat_link,0,0,39.925314991,116.199941441,65.7162704468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975898192437,3903,1718246975897881122,navsat_link,0,0,39.9253149413,116.199941497,65.7152862549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975948372948,3904,1718246975948016418,navsat_link,0,0,39.9253150033,116.199941438,65.7150497437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246975998202978,3905,1718246975997802967,navsat_link,0,0,39.9253149503,116.19994148,65.7154464722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246976048198178,3906,1718246976047878404,navsat_link,0,0,39.9253150101,116.199941436,65.714012146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1718246976098733171,3907,1718246976098340875,navsat_link,0,0,39.9253149597,116.199941492,65.7132568359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
